COMUNA,n_per,n_hog,n_vp,n_hombres,n_mujeres,n_edad_0_5,n_edad_6_13,n_edad_14_17,n_edad_18_24,n_edad_25_44,n_edad_45_59,n_edad_60_mas,n_inmigrantes,n_estcivcon_casado,n_estcivcon_conviviente,n_estcivcon_conv_civil,n_estcivcon_anul_sep_div,n_estcivcon_viudo,n_estcivcon_soltero,n_cine_primaria,n_cine_secundaria,n_cine_terciaria_maestria_doctorado,n_analfabet,n_ocupado,n_desocupado,n_fuera_fuerza_trabajo,n_cise_rec_independientes,n_cise_rec_dependientes,n_transporte_auto,n_transporte_publico,n_transporte_camina,n_transporte_bicicleta,n_transporte_motocicleta,n_hog_unipersonales,n_hog_60,n_hog_menores,n_jefatura_mujer,n_tenencia_propia_pagada,n_tenencia_propia_pagandose,n_tenencia_arrendada_contrato,n_tenencia_arrendada_sin_contrato,n_tenencia_cedida_trabajo,n_tenencia_cedida_familiar,n_tenencia_otro,n_tipo_viv_casa,n_tipo_viv_depto,n_tipo_viv_mediagua,n_tipo_viv_pieza,n_viv_hacinadas,n_viv_irrecuperables,n_deficit_cuantitativo,n_serv_compu,n_internet,n_comb_cocina_gas,n_comb_cocina_lena,n_comb_calefaccion_lena,n_fuente_agua_publica,n_fuente_agua_pozo,n_fuente_agua_camion,n_fuente_agua_rio,n_serv_hig_alc_dentro,n_serv_hig_fosa,n_serv_hig_no_tiene,pct_cedida_familiar,pct_arrendada_sin_contrato,pct_propia_pagada,pct_propia_pagandose,pct_mediagua,pct_hacinamiento,pct_viv_irrecuperable,pct_deficit_cuanti,pct_sin_agua_red,pct_sin_alcantarillado,pct_internet,pct_inmigrantes,pct_adulto_mayor,pct_ninos,pct_jefa_hogar,pct_hog_unipersonal,pct_profesional,pct_analfabeto,pct_desocupado,pct_independiente,pct_divorciado,pct_soltero,pct_viudo,pct_auto,pct_transporte_publico,pct_bicicleta,pct_camina,idx_precariedad_hab,idx_vulnerabilidad,idx_privilegio
LAS CONDES,292863.0,114871.0,127632.0,136370.0,156493.0,15398.0,23016.0,11704.0,29088.0,90470.0,53461.0,69726.0,29754.0,95969.0,25597.0,1795.0,19216.0,13186.0,94258.0,46892.0,60365.0,163563.0,871.0,151631.0,7586.0,90040.0,54217.0,95373.0,61018.0,36141.0,10810.0,4644.0,1236.0,31264.0,23262.0,26070.0,55990.0,37579.0,23793.0,44581.0,2371.0,913.0,4235.0,1352.0,34592.0,92862.0,11.0,25.0,1798.0,118.0,3880.0,99675.0,113208.0,89679.0,16.0,33.0,112565.0,19.0,13.0,16.0,112356.0,56.0,11.0,3.6867442609535916,2.064054461091137,32.71408797694805,20.71279957517563,0.008618528268772721,1.4087376206593958,0.09245330324683465,3.0399899711671052,0.037608123354644606,0.05249467218252476,98.5522890895004,10.15969924503949,23.808401880742874,13.116713275490588,48.741631917542286,27.216616900697304,55.84966349453499,0.29740868597262204,4.764566597787924,18.51275169618559,6.561429747014816,32.18501483628864,4.502446536435125,20.83499793418766,12.340582456643551,1.5857243830733143,3.691145689281336,1.2396412449370215,11.61397626196289,50.44658284618252
LO BARNECHEA,109551.0,31469.0,35385.0,52095.0,57456.0,7032.0,13194.0,7167.0,13042.0,27143.0,23176.0,18797.0,11539.0,37918.0,6342.0,391.0,5375.0,2656.0,34025.0,29322.0,24780.0,45120.0,656.0,51917.0,2469.0,31793.0,20899.0,30253.0,28287.0,7558.0,2649.0,517.0,509.0,4244.0,4211.0,12013.0,13181.0,12253.0,9749.0,6321.0,889.0,339.0,1207.0,699.0,22870.0,12320.0,95.0,36.0,914.0,166.0,1524.0,25376.0,30901.0,25919.0,16.0,284.0,30137.0,252.0,64.0,238.0,29521.0,811.0,9.0,3.835520671136674,2.8250023832978486,38.9367313864438,30.979694302329275,0.26847534265931894,2.5830154020064997,0.46912533559417835,4.30690970750318,1.5656351561396071,2.3173661155857004,98.19504909593569,10.532993765460835,17.158218546612993,18.462633841772323,41.88566525787283,13.48628809304395,41.186296793274366,0.5988078611788117,4.5397712646637,19.07695958959754,4.906390630847733,31.05859371434309,2.4244415842849447,25.820850562751595,6.899069839618077,0.47192631742293545,2.4180518662540735,1.8158087110972116,10.340004122284457,48.840088385652905
LO ESPEJO,85958.0,26908.0,26875.0,42335.0,43623.0,5196.0,8767.0,4622.0,8311.0,23973.0,15049.0,20040.0,6202.0,19852.0,10440.0,467.0,4596.0,4624.0,30548.0,38793.0,30834.0,8414.0,2021.0,35275.0,4906.0,30206.0,15533.0,19264.0,6621.0,18367.0,2763.0,929.0,560.0,4780.0,4688.0,9637.0,14525.0,13200.0,1466.0,2320.0,3096.0,171.0,4561.0,2093.0,22625.0,4036.0,13.0,128.0,2323.0,99.0,4107.0,11677.0,24585.0,26535.0,39.0,89.0,24524.0,10.0,2.0,5.0,23781.0,34.0,8.0,16.950349338486696,11.505871859669986,49.05604281254645,5.448193845696448,0.04837209302325581,8.643720930232558,0.3683720930232558,15.281860465116278,0.06325581395348837,0.15627906976744185,91.36687973836777,7.215151585658113,23.31371134740222,16.243979617952952,53.98022892819979,17.764233685149396,9.788501361129855,2.351148235184625,12.209750877280307,18.07045301193606,5.346797273086857,35.53828613974267,5.379371320877638,7.702598943670165,21.367411991903023,1.080760371344145,3.2143605016403356,6.531130854142107,17.205038173028264,37.46725898851047
LO PRADO,90079.0,31344.0,30490.0,43619.0,46460.0,4713.0,8278.0,4414.0,8775.0,25151.0,18235.0,20513.0,11976.0,19782.0,12543.0,674.0,5534.0,4859.0,32265.0,35600.0,33172.0,14125.0,1527.0,41685.0,4234.0,29592.0,13739.0,27372.0,6986.0,24393.0,2925.0,943.0,595.0,6639.0,5409.0,9618.0,16873.0,14354.0,1937.0,5640.0,4286.0,120.0,3341.0,1661.0,20938.0,8827.0,26.0,597.0,2589.0,159.0,4179.0,15167.0,29263.0,30864.0,13.0,37.0,29310.0,10.0,5.0,2.0,27743.0,17.0,12.0,10.65913731495661,13.674068402246045,45.79504849412966,6.1798111281265955,0.0852738602820597,8.491308625778943,0.5214824532633651,13.706133158412594,0.05575598556903903,0.09511315185306658,93.36077080142931,13.294996614083193,22.772233261914543,14.42178532177311,53.8316743236345,21.181087289433385,15.680680291743915,1.6951786764950767,9.220584071952786,15.252167541824399,6.143496264390146,35.81855926464548,5.394154020359906,7.7554146915485305,27.079563494266147,1.046858868326691,3.2471497241310403,5.920233399397388,15.616112055079178,38.66595573435764
MACUL,122712.0,47090.0,50238.0,57924.0,64788.0,5995.0,10495.0,5288.0,10822.0,41146.0,22067.0,26899.0,16892.0,29231.0,18450.0,1043.0,8066.0,5631.0,41935.0,32263.0,37203.0,44504.0,1046.0,64109.0,4909.0,35052.0,21198.0,42119.0,17749.0,30324.0,3481.0,2162.0,1177.0,11499.0,7517.0,12704.0,24612.0,14497.0,9165.0,15686.0,2831.0,226.0,3384.0,1294.0,22119.0,27919.0,16.0,53.0,2198.0,172.0,3825.0,32371.0,45459.0,34415.0,12.0,20.0,45227.0,4.0,7.0,7.0,44684.0,14.0,9.0,7.186239116585262,6.0118921214695265,30.785729454236566,19.46273094075175,0.03184840160834428,4.375174170946296,0.342370317289701,7.613758509494804,0.03582945180938731,0.045782077311994906,96.53641962200042,13.765564899928288,21.920431579633615,13.437968576830302,52.2658738585687,24.419197281800805,36.267031749136194,0.8524023730360519,7.112637283027616,17.274594171719144,6.573114283851621,34.1735119629702,4.588793272051634,14.463948106134689,24.711519655779384,1.7618488819349372,2.8367233848360387,3.1654754880888865,13.665961644380932,42.31590190663885
MAIPÚ,498041.0,165140.0,167104.0,237923.0,260118.0,24766.0,48532.0,26235.0,50741.0,144740.0,96654.0,106373.0,27182.0,139155.0,60069.0,3187.0,28166.0,18649.0,167411.0,152149.0,179444.0,131129.0,4032.0,232672.0,23667.0,159484.0,74252.0,155606.0,63146.0,112243.0,10464.0,4553.0,3280.0,25097.0,24764.0,54742.0,84463.0,79110.0,39169.0,26714.0,8701.0,517.0,7664.0,3241.0,144332.0,21807.0,478.0,123.0,6502.0,922.0,10419.0,108118.0,159678.0,161765.0,86.0,565.0,159025.0,298.0,628.0,52.0,157499.0,973.0,75.0,4.640910742400388,5.268862783093133,47.904808041661624,23.718662952646238,0.28604940635771736,3.8909900421294523,0.5517522022213711,6.235039256989659,0.5852642665645347,0.627154346993489,96.69250333050745,5.457783596129636,21.358281747888224,14.717262233430581,51.146300108998425,15.19740825965847,26.328956852949858,0.8095719027148368,9.232695766153414,14.90881272826936,5.655357691435042,33.613899257290065,3.744470836738341,12.67887583552358,22.536899572525154,0.9141817641519473,2.1010318427599333,2.6543614711832775,14.028335894697557,44.14440530158965
MARÍA PINTO,15249.0,5204.0,5837.0,7514.0,7735.0,988.0,1664.0,858.0,1287.0,4213.0,2888.0,3351.0,274.0,4256.0,2325.0,53.0,705.0,587.0,4429.0,7095.0,4528.0,2247.0,447.0,6542.0,513.0,5283.0,2700.0,3722.0,2340.0,1334.0,364.0,437.0,126.0,921.0,1002.0,1876.0,2315.0,3776.0,171.0,220.0,225.0,171.0,521.0,119.0,5758.0,4.0,3.0,3.0,261.0,82.0,262.0,2394.0,4726.0,5087.0,32.0,1445.0,4588.0,523.0,13.0,3.0,2109.0,2806.0,35.0,10.01152959262106,4.323597232897771,72.55956956187548,3.2859338970023058,0.05139626520472845,4.4714750728113755,1.4048312489292445,4.488607161212952,9.234195648449546,48.672263148877846,90.81475787855496,1.7968391369925896,21.975211489277985,17.391304347826086,44.48501152959262,17.69792467332821,14.735392484753099,2.931339759984261,7.271438695960312,17.706079087153256,4.623253983867794,29.044527510000655,3.8494327496885044,15.34526854219949,8.74811463046757,2.865761689291101,2.3870417732310316,3.629624857303925,14.107579385063945,47.420493898139455
MELIPILLA,131467.0,44618.0,50378.0,64179.0,67288.0,8796.0,14755.0,7256.0,12267.0,38554.0,23487.0,26352.0,9242.0,32846.0,19136.0,887.0,6251.0,5063.0,41333.0,54739.0,41323.0,22410.0,3035.0,55517.0,5387.0,44487.0,18571.0,36088.0,15904.0,13308.0,4682.0,2766.0,618.0,8108.0,7403.0,16639.0,21964.0,26424.0,3522.0,5388.0,3634.0,838.0,3554.0,1254.0,46466.0,3398.0,90.0,87.0,2524.0,391.0,3019.0,21366.0,41005.0,43822.0,243.0,7569.0,40085.0,2980.0,303.0,53.0,29264.0,12746.0,99.0,7.965395132009504,8.144694966157157,59.22273521896992,7.893675198350442,0.1786494104569455,5.01012346659256,0.776132438762952,5.99269522410576,6.621938147604113,25.497240859105162,91.9023712403066,7.029901039804666,20.04457392349411,17.914001232248395,49.22676946523825,18.172038190864672,17.0461028242829,2.308564126358706,8.845067647445159,14.125978382407753,4.754805388424471,31.439829006518742,3.8511565640046554,12.097332410414781,10.12269238668259,2.103950040694623,3.561349996577088,3.898807373155266,15.100422408794223,43.68059214312012
PADRE HURTADO,79514.0,25504.0,28140.0,38894.0,40620.0,6040.0,9930.0,4422.0,7060.0,26998.0,13713.0,11351.0,4688.0,20454.0,13151.0,917.0,3497.0,2341.0,21866.0,27735.0,26015.0,17692.0,1084.0,37315.0,3065.0,21670.0,11635.0,25166.0,14133.0,12073.0,2103.0,1341.0,811.0,3593.0,2649.0,11363.0,12214.0,9175.0,9037.0,2677.0,1767.0,208.0,2140.0,497.0,26683.0,1344.0,29.0,32.0,1419.0,96.0,1660.0,15207.0,24398.0,24750.0,32.0,1241.0,23822.0,824.0,34.0,11.0,22446.0,1682.0,23.0,8.390840652446675,6.928324968632371,35.97474905897114,35.433657465495614,0.10305614783226724,5.042643923240938,0.3411513859275053,5.899076048329779,3.0881307746979387,6.058990760483298,95.66342534504392,5.895817088814549,14.275473501521743,20.08451341902055,47.8905269761606,14.087986198243414,22.250169781422137,1.3632819377719647,7.590391282813274,14.632643308096688,4.397967653494982,27.499559825942598,2.9441356239152854,17.774228437759387,15.183489699927058,1.686495459919008,2.6448172648841712,3.664434900020421,13.280186928258114,40.15500640867864
PAINE,76737.0,25076.0,29998.0,37776.0,38961.0,4877.0,8895.0,4506.0,7538.0,22269.0,14399.0,14253.0,4716.0,19867.0,11435.0,549.0,3586.0,2599.0,23467.0,32446.0,23915.0,13049.0,1688.0,33867.0,2887.0,24567.0,11005.0,22244.0,11324.0,6932.0,2636.0,2547.0,659.0,4234.0,3896.0,9735.0,11928.0,14019.0,2309.0,2299.0,2064.0,725.0,3047.0,611.0,29161.0,345.0,36.0,17.0,1626.0,431.0,2067.0,12418.0,23499.0,24545.0,195.0,8010.0,21360.0,2672.0,152.0,75.0,11640.0,11858.0,54.0,12.151060775243261,8.23097782740469,55.906045621311215,9.20800765672356,0.12000800053336888,5.420361357423828,1.4367624508300554,6.890459363957597,9.663977598506566,39.70931395426362,93.71111820066996,6.145666366941631,18.573830094999806,17.947013826446174,47.56739511883873,16.88467060137183,17.004834695127514,2.1997211254023483,7.8549273548457315,14.34119134185595,4.673104239154515,30.58107562192945,3.386892893910369,14.756896933682578,9.03345192019495,3.319128972985652,3.435109529952956,4.795588342567337,13.992107961404564,43.56686712180213
